ID,Name,Voivodeship,Population
386,Ciechocinek,Kujawsko-pomorskie,10486
387,Miastko,Pomorskie,10131
388,Syców,Dolnośląskie,10287
389,Murowana Goślina,Wielkopolskie,10380
390,Lubawa,Warmińsko-mazurskie,10369
391,Kolno,Podlaskie,10107
392,Łobez,Zachodniopomorskie,9977
393,Dobre Miasto,Warmińsko-mazurskie,9943
394,Bukowno,Małopolskie,9923
395,Bystrzyca Kłodzka,Dolnośląskie,9810
396,Drezdenko,Lubuskie,9883
397,Sulęcin,Lubuskie,9930
398,Krzeszowice,Małopolskie,9943
399,Włoszczowa,Świętokrzyskie,9736
400,Mońki,Podlaskie,9905
401,Trzebiatów,Zachodniopomorskie,9862
402,Sztum,Pomorskie,9746
403,Strzelce Krajeńskie,Lubuskie,9771
404,Władysławowo,Pomorskie,9814
405,Kudowa-Zdrój,Dolnośląskie,9693
406,Nowy Dwór Gdański,Pomorskie,9813
407,Czersk,Pomorskie,9870
408,Karczew,Mazowieckie,9749
409,Maków Mazowiecki,Mazowieckie,9539
410,Skwierzyna,Lubuskie,9412
411,Puszczykowo,Wielkopolskie,9530
412,Kostrzyn,Wielkopolskie,9681
413,Ryki,Lubelskie,9525
414,Opalenica,Wielkopolskie,9520
415,Blachownia,Śląskie,9420
416,Szubin,Kujawsko-pomorskie,9571
417,Kożuchów,Lubuskie,9231
418,Środa Śląska,Dolnośląskie,9568
419,Wysokie Mazowieckie,Podlaskie,9304
420,Olesno,Opolskie,9339
421,Czarna Białostocka,Podlaskie,9144
422,Poniatowa,Lubelskie,8897
423,Pobiedziska,Wielkopolskie,9470
424,Sucha Beskidzka,Małopolskie,8990
425,Imielin,Śląskie,9333
426,Kolbuszowa,Podkarpackie,8868
427,Ustrzyki Dolne,Podkarpackie,8826
428,Sępólno Krajeńskie,Kujawsko-pomorskie,8963
429,Oborniki Śląskie,Dolnośląskie,9068
430,Chełmek,Małopolskie,8845
431,Stary Sącz,Małopolskie,8986
432,Wojkowice,Śląskie,8847
433,Strzyżów,Podkarpackie,8716
434,Żuromin,Mazowieckie,8679
435,Lwówek Śląski,Dolnośląskie,8661
436,Kamień Pomorski,Zachodniopomorskie,8627
437,Kruszwica,Kujawsko-pomorskie,9260
438,Orneta,Warmińsko-mazurskie,8598
439,Ziębice,Dolnośląskie,8465
440,Janikowo,Kujawsko-pomorskie,8592
441,Ozimek,Opolskie,8419
442,Prabuty,Pomorskie,8589
443,Grodków,Opolskie,8441
444,Kalety,Śląskie,8502
445,Wolbrom,Małopolskie,8429
446,Jastrowie,Wielkopolskie,8564
447,Wieruszów,Łódzkie,8408
448,Poręba,Śląskie,8418
449,Opole Lubelskie,Lubelskie,8278
450,Suchedniów,Świętokrzyskie,8185
451,Żychlin,Łódzkie,7895
452,Tłuszcz,Mazowieckie,8139
453,Połaniec,Świętokrzyskie,7917
454,Połczyn-Zdrój,Zachodniopomorskie,7940
455,Pniewy,Wielkopolskie,8078
456,Mszana Dolna,Małopolskie,7889
457,Chocianów,Dolnośląskie,7735
458,Witkowo,Wielkopolskie,7653
459,Siechnice,Dolnośląskie,9096
460,Kórnik,Wielkopolskie,8042
461,Pelplin,Pomorskie,7549
462,Lidzbark,Warmińsko-mazurskie,7596
463,Zwoleń,Mazowieckie,7617
464,Nasielsk,Mazowieckie,7602
465,Praszka,Opolskie,7431
466,Trzemeszno,Wielkopolskie,7558
467,Zelów,Łódzkie,7405
468,Olsztynek,Warmińsko-mazurskie,7474
469,Sędziszów Małopolski,Podkarpackie,12396
470,Barczewo,Warmińsko-mazurskie,7478
471,Paczków,Opolskie,7332
472,Barcin,Kujawsko-pomorskie,7268
473,Brzozów,Podkarpackie,7392
474,Miasteczko Śląskie,Śląskie,7378
475,Poddębice,Łódzkie,7190
476,Chojna,Zachodniopomorskie,7338
477,Tuszyn,Łódzkie,7220
478,Zbąszyń,Wielkopolskie,7179
479,Zawadzkie,Opolskie,6994
480,Gniewkowo,Kujawsko-pomorskie,7019
481,Pieszyce,Dolnośląskie,6971
482,Czaplinek,Zachodniopomorskie,7040
483,Łosice,Mazowieckie,7016
484,Sławków,Śląskie,6924
485,Skarszewy,Pomorskie,6974
486,Białobrzegi,Mazowieckie,6809
487,Sobótka,Dolnośląskie,6918
488,Kąty Wrocławskie,Dolnośląskie,7081
489,Łazy,Śląskie,6696
490,Łochów,Mazowieckie,6801
491,Pajęczno,Łódzkie,6592
492,Witnica,Lubuskie,6640
493,Gniew,Pomorskie,6571
494,Żarów,Dolnośląskie,6621
495,Rudnik nad Sanem,Podkarpackie,6655
496,Twardogóra,Dolnośląskie,6565
497,Żukowo,Pomorskie,6743
498,Tuchów,Małopolskie,6466
499,Sianów,Zachodniopomorskie,6547
500,Gogolin,Opolskie,6794
501,Gryfów Śląski,Dolnośląskie,6467
502,Sułkowice,Małopolskie,6651
503,Otmuchów,Opolskie,6452
504,Szklarska Poręba,Dolnośląskie,6584
505,Głogów Małopolski,Podkarpackie,9830
506,Rzepin,Lubuskie,6454
507,Bełżyce,Lubelskie,6339
508,Koźmin Wielkopolski,Wielkopolskie,6403
509,Opatów,Świętokrzyskie,6320
510,Sędziszów,Świętokrzyskie,6306
511,Kłodawa,Wielkopolskie,6300
512,Piława Górna,Dolnośląskie,6333
513,Żmigród,Dolnośląskie,6423
514,Dobczyce,Małopolskie,6413
515,Mszczonów,Mazowieckie,6261
516,Głuszyca,Dolnośląskie,6190
517,Niemodlin,Opolskie,6156
518,Polanica-Zdrój,Dolnośląskie,6167
519,Piechowice,Dolnośląskie,6037
520,Krzyż Wielkopolski,Wielkopolskie,6094
521,Sulejów,Łódzkie,6103
522,Przemków,Dolnośląskie,6045
523,Dynów,Podkarpackie,6049
524,Boguchwała,Podkarpackie,6166
525,Buk,Wielkopolskie,5951
526,Lubawka,Dolnośląskie,5894
527,Sieraków,Wielkopolskie,5937
528,Grybów,Małopolskie,5962
529,Kietrz,Opolskie,5835
530,Proszowice,Małopolskie,5944
531,Więcbork,Kujawsko-pomorskie,5885
532,Czarne,Pomorskie,5810
533,Koniecpol,Śląskie,5788
534,Stęszew,Wielkopolskie,5909
535,Działoszyn,Łódzkie,5709
536,Wołczyn,Opolskie,5740
537,Wieleń,Wielkopolskie,5714
538,Karlino,Zachodniopomorskie,5826
539,Piwniczna-Zdrój,Małopolskie,5782
540,Nowa Sarzyna,Podkarpackie,5715
541,Choroszcz,Podlaskie,5965
542,Nowe,Kujawsko-pomorskie,5679
543,Przysucha,Mazowieckie,5734
544,Maków Podhalański,Małopolskie,5739
545,Pieńsk,Dolnośląskie,5731
546,Szczawnica,Małopolskie,5612
547,Jedlicze,Podkarpackie,5618
548,Szczyrk,Śląskie,5671
549,Lewin Brzeski,Opolskie,5664
550,Stronie Śląskie,Dolnośląskie,5578
551,Pakość,Kujawsko-pomorskie,5568
552,Śmigiel,Wielkopolskie,5580
553,Stąporków,Świętokrzyskie,5507
554,Strzelno,Kujawsko-pomorskie,5563
555,Lądek-Zdrój,Dolnośląskie,5398
556,Szczawno-Zdrój,Dolnośląskie,5467
557,Głogówek,Opolskie,5543
558,Radziejów,Kujawsko-pomorskie,5438
559,Siewierz,Śląskie,5565
560,Ścinawa,Dolnośląskie,5526
561,Kazimierza Wielka,Świętokrzyskie,5384
562,Orzysz,Warmińsko-mazurskie,5473
563,Susz,Warmińsko-mazurskie,5490
564,Terespol,Lubelskie,5428
565,Dąbrowa Białostocka,Podlaskie,5338
566,Lipsko,Mazowieckie,5341
567,Lesko,Podkarpackie,5375
568,Międzyzdroje,Zachodniopomorskie,5274
569,Kuźnia Raciborska,Śląskie,5195
570,Jordanów,Małopolskie,5146
571,Dzierzgoń,Pomorskie,5291
572,Sejny,Podlaskie,5124
573,Radymno,Podkarpackie,5193
574,Czempiń,Wielkopolskie,4923
575,Brusy,Pomorskie,5220
576,Nowogród Bobrzański,Lubuskie,5033
577,Szczytna,Dolnośląskie,5016
578,Jaworzyna Śląska,Dolnośląskie,5102
579,Wyrzysk,Wielkopolskie,5075
580,Odolanów,Wielkopolskie,5063
581,Zagórz,Podkarpackie,5054
582,Debrzno,Pomorskie,5017
583,Borne Sulinowo,Zachodniopomorskie,5008
584,Szczebrzeszyn,Lubelskie,4920
585,Zbąszynek,Lubuskie,4980
586,Bolków,Dolnośląskie,4864
587,Bychawa,Lubelskie,4784
588,Pilzno,Podkarpackie,4961
589,Bierutów,Dolnośląskie,4788
590,Łaskarzew,Mazowieckie,4786
591,Jedlina-Zdrój,Dolnośląskie,4756
592,Muszyna,Małopolskie,4715
593,Wolin,Zachodniopomorskie,4727
594,Iłża,Mazowieckie,4598
595,Nowe Skalmierzyce,Wielkopolskie,4721
596,Kcynia,Kujawsko-pomorskie,4475
597,Brześć Kujawski,Kujawsko-pomorskie,4551
598,Ciechanowiec,Podlaskie,4547
599,Karpacz,Dolnośląskie,4434
600,Duszniki-Zdrój,Dolnośląskie,4369
601,Supraśl,Podlaskie,4562
602,Biecz,Małopolskie,4513
603,Ożarów,Świętokrzyskie,4418
604,Pilawa,Mazowieckie,4560
605,Reszel,Warmińsko-mazurskie,4502
606,Żarki,Śląskie,4515
607,Zduny,Wielkopolskie,4439
608,Kalwaria Zebrzydowska,Małopolskie,4454
609,Golina,Wielkopolskie,4444
610,Łabiszyn,Kujawsko-pomorskie,4480
